Date,Open,High,Low,Close,Adj Close,Volume
2014-12-01,548.500000,550.125000,536.513000,543.843994,425.493317,1917936
2014-12-02,541.250000,541.250000,529.000000,531.987000,416.216675,1181984
2014-12-03,525.950012,532.987000,521.200012,530.650024,415.170685,444820
2014-12-04,531.250000,536.138000,524.750000,525.575012,411.200073,393856
2014-12-05,526.799988,528.500000,515.013000,517.424988,404.823639,542284
2014-12-08,503.000000,504.250000,489.625000,492.149994,385.048981,8864444
2014-12-09,496.250000,496.500000,488.138000,491.200012,384.305725,678032
2014-12-10,491.250000,496.200012,490.125000,490.924988,384.090576,1244168
2014-12-11,490.000000,490.000000,478.987000,480.200012,375.699524,1458448
2014-12-12,483.062012,490.000000,479.750000,484.787994,379.289063,700288
2014-12-15,477.350006,489.112000,476.500000,481.075012,376.384094,681828
2014-12-16,481.250000,488.000000,481.250000,484.412994,378.995697,634884
2014-12-17,480.250000,489.000000,474.500000,485.112000,379.542572,815384
2014-12-18,487.138000,495.000000,486.500000,491.575012,384.599091,635004
2014-12-19,497.549988,501.774994,496.437988,500.475006,391.562256,4606736
2014-12-22,500.562012,502.138000,493.787994,499.250000,390.603851,2020052
2014-12-23,500.000000,505.250000,491.075012,492.774994,385.537964,273344
2014-12-24,492.924988,496.250000,479.437988,483.513000,378.291565,588992
2014-12-26,485.500000,489.737000,483.000000,487.587006,381.478973,215352
2014-12-29,488.024994,493.000000,488.024994,489.950012,383.327759,407920
2014-12-30,491.250000,493.500000,489.312012,491.600006,384.618683,177604
2014-12-31,489.750000,494.750000,487.750000,492.799988,385.557495,3768880
2015-01-01,491.950012,495.299988,489.362000,493.950012,386.457214,152124
2015-01-02,493.750000,504.899994,493.475006,503.362000,393.821014,244044
2015-01-05,503.674988,507.412994,494.412994,499.149994,390.525635,329496
2015-01-06,496.225006,497.000000,483.750000,489.212006,382.750336,886344
2015-01-07,489.274994,493.825012,487.500000,491.200012,384.305725,3098952
2015-01-08,495.625000,499.212006,487.750000,493.638000,386.213165,3151456
2015-01-09,496.250000,527.000000,478.524994,518.400024,405.586517,4515468
2015-01-12,523.763000,529.750000,519.062012,528.687988,413.635620,886260
2015-01-13,528.599976,528.599976,518.786987,521.812012,408.255981,372860
2015-01-14,523.750000,533.750000,523.224976,532.200012,416.383362,613040
2015-01-15,536.000000,538.224976,528.625000,533.487000,417.390320,478052
2015-01-16,535.049988,536.838013,527.500000,528.536987,413.517456,272456
2015-01-19,529.500000,532.750000,523.950012,525.599976,411.219604,243580
2015-01-20,525.599976,533.224976,525.112000,530.588013,415.122131,275832
2015-01-21,531.549988,542.500000,529.325012,541.275024,423.483490,1443200
